State	 Location 	Latitude 	Longitude	PIN code		
Andhra Pradesh	 Adilabad 	19.62	78.50	504001		
Andhra Pradesh	 Adoni 	15.63	77.32	518301		
Andhra Pradesh	 Alampur 	15.90	78.18	509152		
Andhra Pradesh	 Allur 	14.68	80.08	524315		
Andhra Pradesh	 Alur 	15.40	77.27	563131		
Andhra Pradesh	 Amaravati 	16.83	80.25			
Andhra Pradesh	 Anakapalle 	17.68	83.05	531001		
Andhra Pradesh	 Anantapur 	14.68	77.65	515001		
Andhra Pradesh	 Armur 	18.80	78.27			
Andhra Pradesh	 Atmakur 	14.62	79.67	502292		
Andhra Pradesh	 Balkonda 	19.08	78.33	503217		
Andhra Pradesh	 Banganpalle 	15.32	78.28			
Andhra Pradesh	 Bapatala 	15.90	80.50			
Andhra Pradesh	 Bhadrachalam 	17.67	80.93	507111		
Andhra Pradesh	 Bhainsa 	19.17	77.97	504103		
Andhra Pradesh	 Bimlipatnam 	17.88	83.50			
Andhra Pradesh	 Bobbili 	18.57	83.42			
Andhra Pradesh	 Bodhan 	18.65	77.83	503185		
Andhra Pradesh	 Chinnur 	19.12	79.72			
Andhra Pradesh	 Chipurupalle 	17.50	83.20			
Andhra Pradesh	 Chittoor 	13.22	79.13	515412		
Andhra Pradesh	" Circars, Northern "	17.00	83.50			
Andhra Pradesh	 Coringa 	16.80	82.27			
Andhra Pradesh	 Cuddapah 	14.47	78.87	516001		
Andhra Pradesh	 Cumbum 	15.57	79.15	523333		
Andhra Pradesh	 Darsi 	15.77	79.73			
Andhra Pradesh	 Devarkonda 	16.70	78.97			
Andhra Pradesh	 Dharmavaram 	14.40	77.00	515671		
Andhra Pradesh	 Eluru 	16.72	81.15	534001		
Andhra Pradesh	 Erramala Range 	15.33	78.00			
Andhra Pradesh	 Gadwal 	16.22	77.80	509125		
Andhra Pradesh	 Godavari R. 	16.58	82.25			
Andhra Pradesh	 Golconda 	17.38	78.45	500008		
Andhra Pradesh	 Gooty 	15.12	77.68	515401		
Andhra Pradesh	 Gudur 	14.15	79.90	506134		
Andhra Pradesh	 Guntakal 	15.18	77.42	515801		
Andhra Pradesh	 Guntur 	16.30	80.48	522001		
Andhra Pradesh	 Gurramkonda 	13.78	78.63			
Andhra Pradesh	 Gurzalla 	16.50	78.93			
Andhra Pradesh	 Hanamkonda 	18.17	79.77	506001		
Andhra Pradesh	 Hindupur 	13.82	77.53	515201		
Andhra Pradesh	 Hyderabad 	17.33	78.50	500001		
Andhra Pradesh	 Ichchapuram 	19.12	84.73			
Andhra Pradesh	 Jaggayyapeta 	16.87	80.15			
Andhra Pradesh	 Jagtiyal 	18.80	79.15			
Andhra Pradesh	 Jammalamadugu 	14.85	78.42			
Andhra Pradesh	 Kadiri 	14.12	78.23	515591		
Andhra Pradesh	 Kakinada 	16.95	82.25	533001		
Andhra Pradesh	 Kalahasti 	13.75	79.73			
Andhra Pradesh	 Kalingapatnam 	18.33	84.17			
Andhra Pradesh	 Kamareddi 	18.30	78.37			
Andhra Pradesh	 Kampli 	15.42	76.65	583132		
Andhra Pradesh	 Kandi 	17.60	78.08	502285		
Andhra Pradesh	 Kandukur 	15.20	79.95	509359		
Andhra Pradesh	 Kanigiri 	15.38	79.53			
Andhra Pradesh	 Karimnagar 	18.47	79.10	505001		
Andhra Pradesh	 Kavali 	14.92	80.05	524201		
Andhra Pradesh	 Khammam 	17.25	80.18	507001		
Andhra Pradesh	 Kodangal 	17.13	77.60	509338		
Andhra Pradesh	 Kohir 	17.58	77.67	502210		
Andhra Pradesh	 Koilkonda 	16.75	77.83			
Andhra Pradesh	 Koilkuntla 	15.45	78.30			
Andhra Pradesh	 Kondapalli 	16.63	80.60			
Andhra Pradesh	 Koratla 	18.72	78.68	505326		
Andhra Pradesh	 Kosgi 	17.00	77.72	509339		
Andhra Pradesh	 Kotagudem 	17.50	80.67			
Andhra Pradesh	" Krishna (Kistna), "	15.92	81.17			
